subid,frame_num,face_openpose,hand_openpose,nose_conf,wrist_conf
161538-Baby_Scene.json,10184,False,False,,
161538-Baby_Scene.json,10185,False,False,,
161538-Baby_Scene.json,10186,False,False,,
161538-Baby_Scene.json,10187,False,False,,
161538-Baby_Scene.json,10188,False,False,,
161538-Baby_Scene.json,10189,False,False,,
161538-Baby_Scene.json,1019,True,True,0.321415,0.1667705
161538-Baby_Scene.json,10190,False,False,,
161538-Baby_Scene.json,10191,False,False,,
161538-Baby_Scene.json,10192,False,False,,
161538-Baby_Scene.json,10193,False,False,,
161538-Baby_Scene.json,10194,False,False,,
161538-Baby_Scene.json,10195,False,False,,
161538-Baby_Scene.json,10196,False,False,,
161538-Baby_Scene.json,10197,False,False,,
161538-Baby_Scene.json,10198,False,False,,
161538-Baby_Scene.json,10199,False,False,,
161538-Baby_Scene.json,102,False,True,0.0,0.284297
161538-Baby_Scene.json,1020,True,True,0.2940915,0.25235275
161538-Baby_Scene.json,10200,False,False,,
161538-Baby_Scene.json,10201,False,False,,
161538-Baby_Scene.json,10202,False,False,,
161538-Baby_Scene.json,10203,False,False,,
161538-Baby_Scene.json,10204,False,False,,
161538-Baby_Scene.json,10205,False,False,,
161538-Baby_Scene.json,10206,False,False,,
161538-Baby_Scene.json,10207,False,False,,
161538-Baby_Scene.json,10208,False,False,,
161538-Baby_Scene.json,10209,False,False,,
161538-Baby_Scene.json,1021,False,False,,
161538-Baby_Scene.json,10210,False,False,,
161538-Baby_Scene.json,10211,False,False,,
161538-Baby_Scene.json,10212,False,False,,
161538-Baby_Scene.json,10213,False,False,,
161538-Baby_Scene.json,10214,False,False,,
161538-Baby_Scene.json,10215,False,False,,
161538-Baby_Scene.json,10216,False,False,,
161538-Baby_Scene.json,10217,False,False,,
161538-Baby_Scene.json,10218,False,False,,
161538-Baby_Scene.json,10219,False,False,,
161538-Baby_Scene.json,1022,True,True,0.2995755,0.233294
161538-Baby_Scene.json,10220,True,True,0.0636642,0.147706
161538-Baby_Scene.json,10221,False,False,,
161538-Baby_Scene.json,10222,True,True,0.0569114,0.5798085
161538-Baby_Scene.json,10223,True,True,0.563124,0.7646445
161538-Baby_Scene.json,10224,False,True,0.0,0.776695
161538-Baby_Scene.json,10225,True,True,0.735955,0.726152
161538-Baby_Scene.json,10226,True,True,0.67412,0.6662225
161538-Baby_Scene.json,10227,True,True,0.672605,0.6245785
161538-Baby_Scene.json,10228,True,True,0.837893,0.646461
161538-Baby_Scene.json,10229,True,True,0.829761,0.702769
161538-Baby_Scene.json,1023,False,True,0.0,0.120996
